org_id	remap_id
book.author.works_written	0
book.written_work.author	1
book.written_work.date_of_first_publication	2
book.book.genre	3
comic_books.publisher.comic_book_series_published	4
book.written_work.literary_series	5
book.literary_series.works_in_this_series	6
comic_books.series.publisher	7
book.author.series_written_or_contributed_to	8
book.literary_series.author	9
book.written_work.subject	10
book.written_work.previous_in_series	11
book.online_edition.text	12
book.written_work.date_written	13
book.literary_series.number_of_volumes	14
book.online_edition.epub	15
book.illustrator.book	16
book.written_work.editor	17
book.online_edition.pdf	18
book.author.works_edited	19
book.book.character	20
book.written_work.translation	21
book.online_edition.kindle	22
book.character.appears_in_book	23
book.book.interior_illustrations_by	24
