org_id	remap_id
film.film.producer	0
film.film.actor	1
film.film.costume_designer	2
film.film.director	3
film.film.executive_producer	4
film.film.set_designer	5
film.film.country	6
film.film.music	7
film.film.production_company	8
film.film.art_director	9
film.film.rating	10
film.film.editor	11
film.film.genre	12
film.film.star	13
film.film.writer	14
film.film.language	15
film.film.cinematographer	16
tv.program.country_of_origin	17
media_common.creative_work.honors	18
media_common.creative_work.nominations	19
award.nominated_work.nomination	20
film.film.location	21
film.film.performance	22
film.film.series	23
tv.program.genre	24
award.winning_work.honor	25
film.film.casting_director	26
tv.series_episode.director	27
film.film.genre_ranking	28
tv.series_episode.writer	29
film.film.production_designer	30
film.film.sequel	31
