org_id	remap_id
music.artist.origin	0
film.person_or_entity_appearing_in_film.film	1
film.actor.film	2
music.musician.instruments_played	3
people.person.place_of_birth	4
cvg.publisher.games_published	5
games.publisher.games_published	6
film.distributor.film	7
film.production_company.film	8
music.artist.album	9
film.writer.film	10
type.object.key	11
music.artist.track	12
award.winner.awards_won	13
film.film.language	14
award.competitor.awards_won	15
film.film.genre	16
music.producer.tracks_produced	17
film.director.film	18
event.agent.performance	19
film.film.star	20
film.film.writer	21
type.object.subject_key	22
people.deceased_person.place_of_death	23
people.person.profession	24
film.film.rating	25
music.album.genre	26
tv.program.genre	27
award.competitor.award_nominations	28
film.film.actor	29
award.nominee.award_nominations	30
music.album.track	31
cvg.computer_videogame.publisher	32
film.producer.film	33
location.location.contained_by	34
music.album.artist	35
film.film.producer	36
tv.program.country_of_origin	37
film.film.director	38
film.film.executive_producer	39
film.film.music	40
film.cinematographer.film	41
film.film.art_director	42
film.film.country	43
film.film.production_company	44
film.film.cinematographer	45
film.editor.film	46
tv.series_episode.writer	47
location.location.time_zone	48
business.operation.industry	49
film.character.film	50
film.film.editor	51
music.artist.genre	52
film.set_designer.film	53
tv.series_episode.director	54
people.person.nationality	55
tv.program.regular_cast	56
fictional_universe.character.creator	57
games.game.publisher	58
tv.actor.starring_roles	59
